ID;ActivityName;ActivityGroup;ActivityType;ActivityTypeName;LayerID;
46;Ticket_Facility_back_02;ticket_facility_back;6006;Ticket_Facility;1;
36;Ticket_machine_main_IC_04;;6011;IndicativeCorridor;1;
37;Ticket_Facility_main_04;ticket_facility_main;6006;Ticket_Facility;1;
53;TransportNetwork_3;train3;6010;Transportation;2;
54;TransportNetwork_4;train4;6010;Transportation;2;
56;TransportNetwork_6;train6;6010;Transportation;2;
15;Entry_exit_pl_8;platform_entry_exit_8;6001;Entry_Exit;2;
42;Ticket_machine_main_IC_03;;6011;IndicativeCorridor;1;
58;TransportNetwork_8;train8;6010;Transportation;2;
2;Entry_exit_main;station_entry_exit;6001;Entry_Exit;1;
48;Ticket_machine_back_IC_01;;6011;IndicativeCorridor;1;
8;Entry_exit_pl_1;platform_entry_exit_1;6001;Entry_Exit;2;
38;Ticket_machine_main_IC_05;;6011;IndicativeCorridor;1;
9;Entry_exit_pl_3;platform_entry_exit_3;6001;Entry_Exit;2;
62;Waiting_20;;6002;Waiting;2;
63;Waiting_21;;6002;Waiting;2;
29;Ticket_Facility_main_02;ticket_facility_main;6006;Ticket_Facility;1;
32;Ticket_machine_main_IC_02;;6011;IndicativeCorridor;1;
45;Ticket_machine_main_IC_06;;6011;IndicativeCorridor;1;
51;TransportNetwork_1;train1;6010;Transportation;2;
55;TransportNetwork_5;train5;6010;Transportation;2;
1;Entry_exit_back;station_entry_exit;6001;Entry_Exit;1;
13;Entry_exit_pl_4;platform_entry_exit_4;6001;Entry_Exit;2;
34;Ticket_Facility_main_03;ticket_facility_main;6006;Ticket_Facility;1;
41;Ticket_Facility_main_06;ticket_facility_main;6006;Ticket_Facility;1;
28;Ticket_Facility_main_01;ticket_facility_main;6006;Ticket_Facility;1;
39;Ticket_Facility_main_05;ticket_facility_main;6006;Ticket_Facility;1;
31;Ticket_machine_main_IC_01;;6011;IndicativeCorridor;1;
47;Ticket_machine_back_IC_02;;6011;IndicativeCorridor;1;
52;TransportNetwork_2;train2;6010;Transportation;2;
10;Entry_exit_pl_5;platform_entry_exit_5;6001;Entry_Exit;2;
57;TransportNetwork_7;train7;6010;Transportation;2;
64;Waiting_22;;6002;Waiting;2;
49;Ticket_Facility_back_01;ticket_facility_back;6006;Ticket_Facility;1;
59;Waiting_19;;6002;Waiting;2;
14;Entry_exit_pl_6;platform_entry_exit_6;6001;Entry_Exit;2;
12;Entry_exit_pl_2;platform_entry_exit_2;6001;Entry_Exit;2;
11;Entry_exit_pl_7;platform_entry_exit_7;6001;Entry_Exit;2;
