AgentID;ActivityID;TimeIn;TimeOut;xLoc;yLoc;zLoc;TotalDelayTime;TotalDistance;
46187;2;40;40;-9.5953;116.2729;0;0;0;
46187;59;133.8;331.2;14.2761;77.9487;6;1.6153;77.1376;
46187;58;352.2;390;8.9631;82.0089;6.25;12.3166;86.8478;
49448;2;804;804;9.4376;116.0243;0;0;0;
49448;59;904.6;1074;16.7209;79.3983;6;34.3074;81.1012;
49448;58;1080.2;1110;17.011;82.206;6.25;36.5689;84.5002;
49720;52;1080;1104;1.1801;29.6;6;0;0;
49720;56;1295.4;1350;16.6761;64.8984;6.25;102.5236;140.2662;
55494;51;2400;2406;-9.79;20.4;6;0;0;
55494;15;2406.6001;2406.6001;-9.79;20.91;6;0.2611;0.51;
58092;2;2596;2596;-9.013;116.4984;0;0;0;
58092;53;2680.3999;2730;-9.8578;37.9383;6.25;2.2964;120.1991;
63229;2;3564;3564;13.8827;116.0099;0;0;0;
49596;2;884;884;9.422;116.4061;0;0;0;
49596;51;1015.6;1050;5.5579;20.5279;6.25;11.6877;141.7805;
52835;2;1536;1536;-14.4282;115.9783;0;0;0;
52835;59;1601.8;1891.2;-15.7534;56.8321;6;2.0045;93.8428;
52835;55;1908;1950;-16.9432;55.4411;6.25;14.4912;98.5092;
60169;55;3300;3320.3999;5.8;55.4;6;0;0;
60169;10;3426.6001;3426.6001;25.277;46.4706;6;35.6231;82.2323;
55477;54;2040;2042.4;24.2;47.1;6;0;0;
55477;2;2166;2166;-1.1569;114.7449;0;41.6996;116.7468;
60263;55;3300;3331.2;-1.7;55.4;6;0;0;
60263;2;3410.2;3410.2;0.9569;114.8296;0;15.1308;106.6772;
53391;58;1740;1742.4;1.3103;82.1;6;0;0;
53391;11;1827.2;1827.2;-25.4508;28.7611;6;3.1592;137.6729;
59706;2;2944;2944;3.6731;116.1576;0;0;0;
59706;59;3072;3172.8;2.4575;22.3709;6;2.013;134.6449;
59706;51;3178.6001;3210;5.4995;20.2498;6.25;2.4838;138.4563;
61535;2;3296;3296;0.1364;115.7541;0;0;0;
61535;59;3371.3999;3427.2;10.7815;62.067;6;2.8112;98.0548;
61535;56;3484.8;3510;16.4435;64.683;6.25;51.2687;109.2441;
49161;2;652;652;8.4858;116.5622;0;0;0;
49161;59;733.4;1168.8;-3.5168;59.2086;6;6.0925;115.5583;
49161;55;1182.2;1230;-1.5213;55.6222;6.25;12.5616;121.9901;
46645;51;240;267.6;5.71;20.4;6;0;0;
46645;59;291.4;393.6;24.9064;29.5562;6;7.2751;24.2365;
46645;52;403.8;450;24.3894;29.7312;6.25;13.0606;27.4845;
49576;1;872;872;-7.9204;1.0836;0;0;0;
49576;59;966.4;1161.6;-13.5418;60.0448;6;1.0268;99.6265;
49576;55;1201.4;1230;-9.9315;55.4211;6.25;29.2822;110.0399;
46323;2;112;112;-9.1614;116.4652;0;0;0;
46323;59;204.4;331.2;-5.9041;79.6647;6;2.1491;100.47;
46323;58;357.4;390;1.0793;81.9464;6.25;19.4706;110.2504;
52671;2;1436;1436;-12.6064;116.067;0;0;0;
52671;58;1799;1830;1.3724;81.8774;6.25;255.6043;125.4582;
59850;1;3020;3020;5.721;0.3231;0;0;0;
59850;59;3070.8;3172.8;-8.6956;21.261;6;1.1179;66.7171;
59850;51;3183.2;3210;-1.9641;20.2552;6.25;2.4688;75.1437;
49546;1;860;860;-10.0714;1.6057;0;0;0;
49546;59;996.2;1075.2;22.6764;81.8762;6;39.073;116.4446;
49546;59;1225.2;1263.6;22.3133;64.5783;6;139.4233;185.3421;
49546;56;1287.2;1350;24.1746;64.39;6.25;157.8125;190.2047;
62034;2;3404;3404;-10.8367;116.1031;0;0;0;
62034;59;3540.8;3600;-15.8211;22.804;6;61.07;136.2599;
56581;2;2400;2400;-12.4223;115.6677;0;0;0;
56581;59;2564.2;2644.8;4.1933;42.9662;6;3.3898;144.5963;
56581;53;2656.6001;2730;-1.8389;37.9969;6.25;5.6582;153.1087;
53180;55;1860;1869.6;-1.7;55.4;6;0;0;
53180;59;2012.6;2066.3999;6.9724;43.1014;6;17.49;104.894;
53180;54;2085.6001;2130;8.7095;46.8805;6.25;29.1168;110.475;
51042;1;1128;1128;-2.5701;0.6494;0;0;0;
51042;53;1210.2;1290;-1.8079;37.95;6.25;1.1831;85.2207;
52963;2;1604;1604;-14.5514;117.1943;0;0;0;
52963;59;1682.4;1800;18.6097;80.75;6;7.3704;74.4244;
52963;58;1806.2;1830;17.0427;82.3073;6.25;9.4914;77.4047;
58620;2;2712;2712;10.7748;117.1566;0;0;0;
58620;57;2826.6001;2850;-1.8558;72.9333;6.25;2.7088;98.6257;
58707;58;3180;3207.6001;16.8102;82.1;6;0;0;
58707;1;3340.8;3340.8;0.4483;2.6686;0;6.1286;112.9453;
60103;55;3300;3307.2;-9.7;55.4;6;0;0;
60103;1;3421.3999;3421.3999;-0.6579;2.7516;0;27.1423;106.5603;
52099;51;1680;1707.6;-9.79;20.4;6;0;0;
52099;2;1848.8;1848.8;-0.6536;114.8607;0;6.8246;129.6123;
48773;58;1020;1065.6;1.3103;82.1;6;0;0;
48773;13;1183.8;1183.8;16.9872;56.3069;6;38.7187;139.1615;
56483;1;2348;2348;-1.0548;1.9433;0;0;0;
56483;58;2539;2550;24.2878;81.8403;6.25;112.2111;119.593;
62499;57;3480;3493.2;-17.28;72.9;6;0;0;
62499;1;3574;3574;-1.7359;2.6589;0;2.4775;111.9086;
52081;51;1680;1695.6;5.71;20.4;6;0;0;
52081;59;1719.8;1826.4;23.9237;29.3846;6;7.1718;25.7512;
52081;52;1830;1890;23.9944;29.4319;6.25;7.3149;25.8362;
56143;1;2156;2156;2.5061;1.3891;0;0;0;
56143;59;2220;2546.3999;13.7394;24.5699;6;2.5158;83.1331;
56143;52;2583.6001;2610;8.9077;29.6651;6.25;29.2082;94.0672;
55450;51;2400;2419.2;-1.7899;20.4;6;0;0;
55450;14;2521;2521;-21.5081;38.6579;6;3.2278;80.0834;
55967;1;2076;2076;14.7401;1.3533;0;0;0;
55967;59;2178;2601.6001;-0.2652;59.1276;6;2.5242;141.7255;
55967;55;2632.6001;2670;-1.8605;55.2082;6.25;27.8985;148.2233;
61557;2;3304;3304;13.5771;115.444;0;0;0;
61557;59;3399.8;3512.3999;21.9017;47.2162;6;7.0158;106.5953;
61557;54;3542;3570;24.0975;47.369;6.25;31.9594;111.6952;
48582;57;600;613.2;5.7199;72.9;6;0;0;
48582;2;678.6;678.6;-0.4777;114.7362;0;8.8899;84.3541;
55398;51;2400;2413.2;-17.2899;20.4;6;0;0;
55398;59;2439.6001;2552.3999;14.4159;24.1796;6;2.1094;33.1022;
55398;52;2569.6001;2610;16.8512;29.6951;6.25;9.8948;41.8438;
60479;52;3240;3241.2;1.1801;29.6;6;0;0;
60479;52;3255.3999;3330;16.5744;29.8148;6.25;1.8453;17.5101;
58781;57;2760;2770.8;-1.7801;72.9;6;0;0;
58781;57;2793.3999;2850;-17.1448;72.8944;6.25;7.4333;19.6356;
54235;2;1808;1808;10.0629;115.4889;0;0;0;
54235;59;1893;1980;7.8751;61.1168;6;7.794;106.6415;
54235;56;2009.6;2070;1.4642;64.4828;6.25;28.3987;118.3291;
61272;2;3252;3252;11.8266;117.198;0;0;0;
61272;59;3403.8;3513.6001;-1.6477;44.0876;6;11.0715;160.1994;
61272;54;3543.2;3570;1.1385;46.8392;6.25;33.8769;167.2605;
56597;58;2460;2480.3999;1.3103;82.1;6;0;0;
56597;59;2571.2;2647.2;-16.4338;42.1824;6;2.9011;116.1372;
56597;53;2653.8;2730;-17.1121;38.1444;6.25;4.45;120.6037;
53021;1;1636;1636;-5.9964;1.7266;0;0;0;
53021;51;1715.8;1770;-17.5161;20.3565;6.25;8.3533;58.3799;
49157;2;652;652;11.0264;116.6154;0;0;0;
49157;59;775.6;1106.4;11.0402;27.9513;6;11.2662;138.6276;
49157;52;1122.8;1170;8.8074;29.7564;6.25;21.8974;142.9634;
52713;2;1460;1460;6.6088;116.8893;0;0;0;
52713;59;1567.6;1893.6;-4.4337;56.9866;6;5.7389;113.4254;
52713;55;1901.6;1950;-1.9216;55.2612;6.25;8.5008;117.2353;
53119;51;1680;1684.8;-17.2899;20.4;6;0;0;
53119;8;1748.8;1748.8;-25.0076;81.3915;6;4.7208;104.8859;
53191;52;1800;1822.8;24.18;29.6;6;0;0;
53191;10;1904;1904;25.7818;46.3046;6;8.3834;67.1266;
54487;2;1836;1836;-14.689;117.2193;0;0;0;
54487;59;1947.4;2066.3999;9.8033;41.3392;6;5.1869;117.6407;
54487;54;2088;2130;8.4835;47.2568;6.25;17.5272;127.3337;
58473;2;2696;2696;-6.9382;115.9643;0;0;0;
58473;57;2792.6001;2850;5.9455;72.8887;6.25;10.1541;86.8313;
62491;57;3480;3484.8;-1.7801;72.9;6;0;0;
62491;2;3553;3553;-0.7637;114.8147;0;7.1935;86.4224;
52939;2;1592;1592;-6.9163;115.8882;0;0;0;
52939;59;1679.4;1890;-4.7124;57.318;6;3.8271;106.039;
52939;55;1897.2;1950;-9.5447;55.2151;6.25;6.1924;111.768;
51862;54;1320;1345.2;16.7001;47.1;6;0;0;
51862;54;1346.4;1410;16.7001;47.1;6.25;0.2;0;
48536;58;1020;1056;8.8102;82.1;6;0;0;
48536;59;1287.2;1351.2;10.8106;45.9009;6;21.8753;187.4938;
48536;54;1358.8;1410;8.8393;47.2545;6.25;24.7071;190.67;
60378;52;3240;3242.3999;16.6801;29.6;6;0;0;
60378;2;3450.8;3450.8;1.1412;114.8468;0;36.0922;142.3821;
59718;2;2948;2948;-5.3659;115.4766;0;0;0;
59718;59;3297;3339.6001;-12.7868;57.585;6;187.1723;138.1071;
59718;55;3367.2;3390;-17.0092;55.2857;6.25;205.4352;144.9941;
60321;58;3180;3237.6001;1.3103;82.1;6;0;0;
60321;2;3325.2;3325.2;-0.6541;114.8034;0;4.7445;88.9899;
62352;54;3480;3511.2;24.2;47.1;6;0;0;
62352;2;3597.2;3597.2;-1.2945;114.8977;0;13.5728;99.678;
48416;58;1020;1058.4;8.8102;82.1;6;0;0;
48416;59;1220.2;1350;-0.9832;43.008;6;25.4613;128.864;
48416;54;1376.4;1410;0.9906;47.1085;6.25;43.6269;137.0573;
62700;54;3480;3501.6001;24.2;47.1;6;0;0;
59990;2;3108;3108;6.6461;115.8604;0;0;0;
59990;58;3225.3999;3270;1.4672;81.9228;6.25;4.553;95.7407;
55428;51;2400;2438.3999;5.71;20.4;6;0;0;
55428;59;2551.6001;2700;3.79;61.6668;6;24.8685;124.0137;
55428;56;2750.3999;2790;8.5101;64.4212;6.25;65.3043;134.2094;
51965;57;1320;1344;5.7199;72.9;6;0;0;
51965;59;1483.2;1833.6;1.6601;22.8351;6;8.1336;135.2144;
51965;52;1866;1890;8.4434;29.6046;6.25;30.2799;146.7614;
47978;2;452;452;4.0396;116.359;0;0;0;
47978;56;542.4;630;16.5286;64.5855;6.25;5.8545;88.017;
62308;57;3480;3490.8;5.7199;72.9;6;0;0;
62308;59;3496.2;3600;5.0343;80.1007;6;104.1494;7.4835;
56648;55;2580;2583.6001;-1.7;55.4;6;0;0;
56648;59;2609.3999;2700;7.914;61.8122;6;14.5233;15.4849;
56648;56;2741.8;2790;1.4337;64.5923;6.25;48.9119;23.7398;
52935;1;1592;1592;-7.5193;0.7797;0;0;0;
52935;59;1691.2;1893.6;-6.9324;57.3193;6;16.3067;104.1657;
52935;55;1938.8;1950;-1.4694;55.401;6.25;50.8768;114.5623;
58893;51;3120;3144;-1.7899;20.4;6;0;0;
58893;12;3305;3305;-15.7125;73.7011;6;15.5182;164.3167;
62223;2;3436;3436;-10.6677;115.4012;0;0;0;
62223;57;3527.8;3570;-17.5104;72.9086;6.25;5.4772;78.3672;
46835;55;420;450;-17.2;55.4;6;0;0;
46835;55;451.4;510;-17.2;55.4;6.25;0.2;0;
49400;2;784;784;8.1657;115.6214;0;0;0;
49400;59;886;1074;13.0034;77.0155;6;7.1504;84.4929;
49400;58;1105.8;1110;9.0354;82.1731;6.25;27.4395;94.1663;
48456;58;1020;1035.6;16.8102;82.1;6;0;0;
48456;14;1155.6;1155.6;17.5723;38.6491;6;29.13;108.5162;
58956;54;2760;2767.2;1.2001;47.1;6;0;0;
58956;54;2781.8;2850;16.4045;47.0871;6.25;2.8974;15.8397;
63156;2;3524;3524;-9.3759;115.588;0;0;0;
47429;2;340;340;10.9313;116.4578;0;0;0;
47429;55;485.8;510;6.0132;55.3089;6.25;31.772;110.6256;
53479;58;1740;1746;16.8102;82.1;6;0;0;
53479;2;1851.6;1851.6;1.5272;114.789;0;47.9635;83.1314;
57313;2;2468;2468;-14.476;116.5083;0;0;0;
57313;59;2573;2601.6001;2.404;61.0331;6;6.3648;106.8546;
57313;55;2645.8;2670;-1.7453;55.5919;6.25;41.0082;117.5681;
59018;54;2760;2770.8;16.7001;47.1;6;0;0;
59018;2;2895.3999;2895.3999;-0.2546;114.9078;0;10.3508;113.4836;
60416;52;3240;3250.8;24.18;29.6;6;0;0;
60416;2;3390;3390;1.069;114.9546;0;5.232;115.2165;
53496;52;1800;1818;24.18;29.6;6;0;0;
53496;59;1977.2;2066.3999;-9.9576;74.1645;6;5.3497;133.128;
53496;57;2068.8;2130;-9.8067;73.0481;6.25;5.784;134.2629;
46163;1;20;20;12.1357;1.8038;0;0;0;
46163;59;148.4;337.2;21.2141;82.381;6;1.69;112.9155;
46163;58;358.2;390;24.2518;82.3213;6.25;16.3848;117.6761;
62270;2;3460;3460;12.3463;115.3435;0;0;0;
55510;58;2460;2466;8.8102;82.1;6;0;0;
55510;10;2689.8;2689.8;15.6608;46.4445;6;3.7258;158.8237;
51306;2;1168;1168;1.9221;116.5182;0;0;0;
51306;54;1372.6;1410;24.4133;47.1814;6.25;116.3449;106.8084;
46165;2;24;24;0.2142;115.807;0;0;0;
46165;59;138;456;-14.5101;56.4442;6;1.633;91.1262;
46165;55;466.2;510;-16.9992;55.2845;6.25;6.8698;94.5988;
60638;2;3152;3152;-12.251;115.7418;0;0;0;
60638;58;3251;3270;24.3966;81.8482;6.25;51.2798;76.6555;
49370;1;768;768;-1.5186;2.2367;0;0;0;
49370;59;859;1167.6;0.197;56.7751;6;6.3555;106.8678;
49370;55;1195.6;1230;5.7775;55.6214;6.25;25.463;117.4095;
52623;2;1412;1412;-4.5059;116.2881;0;0;0;
52623;59;1541.2;1736.4;-15.2082;23.6514;6;6.0227;130.5968;
52623;51;1744.2;1770;-17.2898;20.6547;6.25;9.6285;134.7207;
49506;1;836;836;14.2417;1.2279;0;0;0;
49506;59;889.2;1101.6;11.8855;27.0482;6;2.0028;72.7676;
49506;52;1136;1170;16.8152;29.8062;6.25;25.894;85.3143;
55409;54;2040;2062.8;16.7001;47.1;6;0;0;
55409;2;2170.8;2170.8;0.1714;114.9207;0;26.2215;110.9694;
58954;54;2760;2763.6001;8.7;47.1;6;0;0;
58954;14;2785.6001;2785.6001;-17.688;38.706;6;1.7674;30.2586;
53167;55;1860;1872;-1.7;55.4;6;0;0;
