AgentID;ActivityID;TimeIn;TimeOut;xLoc;yLoc;zLoc;TotalDelayTime;TotalDistance;
4725;2;470;470;-4.6367;115.8631;0;0;0;
4725;1;565.8;565.8;-1.0314;2.6393;0;4.1016;119.5566;
1815;55;420;436.8;-17.2;55.4;6;0;0;
1815;59;586.8;654;7.8879;44.1467;6;10.3256;106.5864;
1815;54;673.8;690;1.4302;47.1628;6.25;19.1342;115.9489;
5757;53;1200;1203.6;-9.71;37.9;6;0;0;
5757;2;1282.8;1282.8;-2.8266;114.8875;0;8.8659;118.7489;
2446;52;360;370.8;16.6801;29.6;6;0;0;
2446;10;469.4;469.4;19.5714;46.31;6;32.4626;87.9731;
1788;51;240;249.6;-17.2899;20.4;6;0;0;
1788;2;345.4;345.4;0.8131;114.7447;0;4.0104;125.2899;
15743;54;3480;3504;1.2001;47.1;6;0;0;
11954;2;1065;1065;13.7647;115.7918;0;0;0;
11954;59;1151;1366.8;-3.0531;77.035;6;28.708;95.5829;
11954;57;1379.6;1410;-9.5283;72.7062;6.25;33.9354;104.5347;
13760;2;1188;1188;-4.099;115.9958;0;0;0;
13760;59;1292.8;1795.2;24.395;82.2884;6;31.1107;65.6714;
13760;58;1797.6;1830;24.3807;82.3022;6.25;31.3864;65.8296;
8320;52;1800;1818;8.68;29.6;6;0;0;
8320;59;1994.6;2088;10.1306;75.1747;6;18.4684;142.7558;
8320;59;2133.2;2809.2;5.3624;74.6201;6;56.815;150.7277;
8320;57;2815;2850;5.8302;72.7499;6.25;58.0487;153.176;
4191;56;540;550.8;1.19;64.6;6;0;0;
4191;12;656.2;656.2;-10.5388;73.746;6;33.9293;110.7778;
8809;53;1920;1946.4;5.7899;37.9;6;0;0;
8809;59;2047.8;2455.2;-14.9848;25.0845;6;3.8773;99.6656;
8809;59;2499.2;3175.2;-3.1928;24.8933;6;31.3096;121.9417;
1883;52;360;405.6;24.18;29.6;6;0;0;
1883;53;494;570;5.7288;38.1486;6.25;8.0629;87.2699;
4288;57;600;627.6;-17.28;72.9;6;0;0;
4288;2;702.2;702.2;0.4786;114.782;0;9.5331;73.7934;
5938;53;1200;1242;5.7899;37.9;6;0;0;
5938;2;1343.2;1343.2;0.0763;114.9154;0;7.2418;116.9467;
13239;52;3240;3284.3999;16.6801;29.6;6;0;0;
13239;15;3401;3401;16.6722;21.2016;6;89.2785;42.6818;
7804;52;1800;1837.2;1.1801;29.6;6;0;0;
7804;59;2002;2516.3999;9.5173;78.7854;6;63.3956;150.0633;
7804;58;2534.2;2550;9.011;82.1093;6.25;74.2731;155.7212;
19724;2;1641;1641;3.2146;116.6868;0;0;0;
19724;59;1715.4;2100;-8.8666;77.3322;6;22.7941;84.6807;
19724;57;2119.6001;2130;-9.5929;73.0813;6.25;35.4552;91.1726;
8363;53;1920;1964.4;-1.7101;37.9;6;0;0;
8363;59;2152.6001;2570.3999;21.8254;29.5646;6;79.2177;113.6124;
8363;59;2733.6001;3532.8;6.2384;42.2569;6;146.1364;224.199;
8363;59;3578.3999;3600;5.9417;44.5631;6;203.4284;238.83;
41949;2;3279;3279;6.5974;116.6994;0;0;0;
1944;51;240;261.6;5.71;20.4;6;0;0;
1944;59;378.6;471.6;2.6675;59.0186;6;2.5916;124.9866;
1944;55;486.8;510;5.6054;55.4694;6.25;8.8064;130.8904;
8770;57;2040;2077.2;5.7199;72.9;6;0;0;
8770;10;2242.2;2242.2;-16.9153;46.4262;6;9.3713;121.4384;
14577;2;1236;1236;-11.9081;115.6124;0;0;0;
14577;59;1497.6;1794;13.455;80.561;6;196.8324;100.6275;
14577;59;1835.4;2511.6001;13.3552;78.9467;6;232.0977;110.1019;
14577;58;2539.3999;2550;16.9565;81.8631;6.25;249.6343;121.2645;
9017;54;2040;2078.3999;24.2;47.1;6;0;0;
9017;59;2204.3999;2752.8;6.9363;60.9358;6;72.9878;92.308;
9017;56;2779.3999;2790;1.4126;64.8089;6.25;90.1252;102.2942;
40881;2;3201;3201;11.0667;116.1043;0;0;0;
40881;59;3335.3999;3600;-2.9707;76.1682;6;310.1644;108.1953;
7421;2;654;654;2.5175;116.2136;0;0;0;
7421;59;718;1074;15.5214;77.5786;6;2.6363;74.8924;
7421;58;1092.4;1110;17.0373;82.2972;6.25;13.4645;82.1798;
34856;2;2715;2715;2.31;116.8594;0;0;0;
34856;59;2780;3532.8;5.2873;73.9996;6;9.3974;88.7074;
34856;57;3538.8;3570;5.8948;73.0564;6.25;13.0063;90.533;
4476;1;430;430;-1.7938;1.5858;0;0;0;
4476;2;530.8;530.8;0.1349;114.8136;0;4.3365;116.7715;
6941;2;606;606;-12.4198;116.0372;0;0;0;
6941;59;740.6;1011.6;-9.9414;22.7607;6;7.3661;142.3232;
6941;51;1053;1050;-9.6101;20.571;6.25;35.7674;154.7303;
34133;2;2685;2685;-2.2487;117.0249;0;0;0;
3482;57;600;609.6;-1.7801;72.9;6;0;0;
3482;2;690.2;690.2;-0.4022;114.8434;0;5.7123;85.0415;
8432;58;1740;1744.8;24.3101;82.1;6;0;0;
8432;2;1822;1822;-0.4491;114.8823;0;4.6046;61.9752;
9451;57;2040;2061.6001;-9.7801;72.9;6;0;0;
9451;2;2163.3999;2163.3999;-0.9686;114.8599;0;40.6981;86.2022;
16389;2;1347;1347;-2.2292;117.0821;0;0;0;
16389;59;1488;1734;1.5515;22.9808;6;52.2753;149.138;
16389;59;1775.8;2451.6001;11.2698;22.6294;6;85.5067;163.4996;
16389;59;2494.8;3172.8;3.9411;22.9326;6;122.4312;173.7776;
16389;51;3209.6001;3210;5.891;20.5902;6.25;150.3647;183.7134;
14847;54;3480;3501.6001;8.7;47.1;6;0;0;
11368;54;2760;2763.6001;1.2001;47.1;6;0;0;
11368;1;2890.6001;2890.6001;0.8714;2.6973;0;47.7294;100.7656;
13321;58;3180;3194.3999;16.8102;82.1;6;0;0;
13321;1;3321.6001;3321.6001;0.545;2.6341;0;36.4388;125.8541;
4928;51;960;985.2;-17.2899;20.4;6;0;0;
4928;59;1110.4;1318.8;24.9088;64.4567;6;53.8911;99.6371;
4928;56;1334;1350;24.4057;64.5475;6.25;63.4863;104.3477;
8208;52;1800;1826.4;16.6801;29.6;6;0;0;
8208;1;1908.8;1908.8;0.287;2.5903;0;28.7148;66.8954;
8996;57;2040;2074.8;-9.7801;72.9;6;0;0;
8996;2;2199.8;2199.8;-0.4173;114.9453;0;33.4784;81.776;
2896;2;324;324;-0.541;116.1293;0;0;0;
2896;55;431.4;510;5.5432;55.424;6.25;7.7207;105.0325;
4056;54;600;614.4;1.2001;47.1;6;0;0;
4056;59;733.8;1016.4;-8.9121;22.8635;6;11.746;119.0516;
4056;59;1167;1256.4;-7.8075;41.8686;6;57.4897;234.1364;
4056;53;1270.8;1290;-9.7635;38.1664;6.25;65.5792;241.262;
34814;2;2709;2709;-5.6486;117.2143;0;0;0;
34814;59;2776.8;3535.2;-13.9735;76.7404;6;4.9143;81.3233;
34814;59;3589.2;3600;-13.6886;77.3246;6;59.4526;97.683;
1725;52;360;405.6;8.68;29.6;6;0;0;
1725;2;538.8;538.8;-1.5346;114.8291;0;29.365;134.1663;
29558;2;2379;2379;-10.2874;115.9396;0;0;0;
29558;59;2743.6001;2809.2;2.4782;75.6087;6;189.4817;149.4801;
29558;57;2832;2850;5.5254;72.9866;6.25;205.1926;155.0952;
9823;1;879;879;-2.4504;2.0268;0;0;0;
9823;59;962.8;1137.6;-1.8326;24.6963;6;19.1297;80.0861;
9823;59;1298.2;1377.6;-4.4507;43.7253;6;76.3647;206.0465;
