AgentID;ActivityID;TimeIn;TimeOut;xLoc;yLoc;zLoc;TotalDelayTime;TotalDistance;
76879;57;2040;2077.2;-9.7801;72.9;6;0;0;
76879;9;2202.8;2202.8;4.88;63.804;6;37.3971;110.4713;
77124;55;2580;2589.6001;-17.2;55.4;6;0;0;
77124;2;2645.3999;2645.3999;2.9969;114.7675;0;4.4246;88.7204;
81390;57;3480;3537.6001;-9.7801;72.9;6;0;0;
76325;57;2040;2061.6001;-1.7801;72.9;6;0;0;
76325;59;2217;2458.8;-0.5922;25.2044;6;40.0035;156.82;
76325;59;2500.8;3174;12.5825;23.1185;6;68.4728;173.8861;
76325;51;3206.3999;3210;5.9181;20.3118;6.25;91.4573;183.239;
71262;57;600;657.6;-1.7801;72.9;6;0;0;
71262;2;750;750;0.0279;114.8694;0;2.9338;84.3425;
77640;53;2640;2672.3999;5.7899;37.9;6;0;0;
77640;2;2762.8;2762.8;2.1684;114.8976;0;12.5046;118.233;
74705;57;1320;1358.4;5.7199;72.9;6;0;0;
74705;57;1404.8;1410;-17.55;72.9216;6.25;24.562;27.8606;
75356;57;1320;1333.2;-17.28;72.9;6;0;0;
75356;12;1334;1334;-17.4466;73.2095;6;0.7407;0.4232;
76083;55;1860;1906.8;-17.2;55.4;6;0;0;
76083;59;2006.4;2103.6001;-12.0474;76.5721;6;53.6055;81.7927;
76083;57;2114.8;2130;-9.6689;73.1365;6.25;58.3603;87.1386;
78381;1;964;964;7.2661;1.1286;0;0;0;
78381;59;1174.2;1252.8;-4.4306;42.3361;6;27.9862;193.6503;
78381;53;1274.4;1290;-9.6137;38.1305;6.25;42.3176;202.2502;
76892;58;2460;2493.6001;1.3103;82.1;6;0;0;
76892;59;2698;2752.8;4.019;61.7353;6;82.1787;135.6565;
76892;59;2792.8;3468;0.6245;63.4813;6;118.1183;141.7873;
76892;56;3470.2;3510;1.0716;64.4543;6.25;118.4089;142.8586;
82598;2;1280;1280;10.6318;116.5813;0;0;0;
82598;57;1391.4;1410;-9.8358;72.9748;6.25;16.1554;97.2393;
86502;2;1656;1656;-3.6545;116.1338;0;0;0;
86502;59;1765.4;2031.6;2.3176;62.9678;6;4.412;100.9938;
86502;56;2037.6;2070;1.3647;64.5593;6.25;5.8314;103.177;
79133;51;3120;3153.6001;5.71;20.4;6;0;0;
79133;1;3224.2;3224.2;0.6006;2.619;0;12.9687;64.3113;
71427;56;540;576;8.69;64.6;6;0;0;
71427;2;660;660;0.1726;114.8213;0;15.7492;101.1302;
96002;2;2452;2452;-4.7069;115.3342;0;0;0;
96002;59;2558.8;2752.8;11.37;61.191;6;8.0721;103.1992;
96002;59;2796;3468;10.5988;61.1761;6;43.4116;113.834;
96002;56;3503.3999;3510;8.9463;64.5558;6.25;70.7964;121.9724;
100744;2;2768;2768;12.1936;115.8123;0;0;0;
100744;59;2941;3288;2.9865;27.6119;6;18.0107;148.7784;
100744;52;3311.6001;3330;1.3201;29.4077;6.25;32.8824;155.3413;
74511;54;1320;1335.6;24.2;47.1;6;0;0;
74511;59;1468;1801.2;11.9373;79.0398;6;27.3078;106.5884;
74511;59;1932.8;2036.4;22.759;64.4562;6;73.9218;183.5153;
74511;56;2058.2;2070;23.9637;64.7651;6.25;91.5415;188.1666;
75394;51;1680;1712.4;5.71;20.4;6;0;0;
75394;8;1828.6;1828.6;-6.3939;81.3866;6;4.218;145.9216;
78242;56;2700;2751.6001;16.69;64.6;6;0;0;
78242;2;2849.6001;2849.6001;1.3909;114.927;0;17.9098;93.5617;
72906;55;1140;1190.4;-9.7;55.4;6;0;0;
72906;14;1294.4;1294.4;-4.7675;38.7026;6;39.758;110.0966;
86961;2;1684;1684;8.0414;117.1897;0;0;0;
86961;59;1766.2;2036.4;20.0654;64.5096;6;1.7266;90.0911;
86961;56;2066.8;2070;24.4111;64.7773;6.25;24.5573;97.3709;
76840;51;2400;2431.2;-17.2899;20.4;6;0;0;
76840;59;2529;2632.8;-17.0234;61.9119;6;32.5588;100.864;
76840;55;2655;2670;-17.0449;55.5922;6.25;44.7838;109.9688;
75359;52;1800;1824;16.6801;29.6;6;0;0;
75359;59;1962.8;2031.6;1.2024;61.0222;6;27.832;127.5818;
75359;56;2036.4;2070;0.935;64.4227;6.25;29.2506;131.4454;
74595;57;1320;1334.4;-1.7801;72.9;6;0;0;
74595;15;1454.2;1454.2;-26.3344;21.1711;6;48.7291;122.7813;
78355;54;2760;2806.8;8.7;47.1;6;0;0;
78355;2;2946;2946;1.741;114.941;0;24.1603;118.6428;
77100;57;2040;2070;-1.7801;72.9;6;0;0;
77100;2;2147.3999;2147.3999;-1.3843;114.8232;0;9.8396;89.481;
74697;51;1680;1687.2;-1.7899;20.4;6;0;0;
74697;59;1792.8;1914;8.868;57.8682;6;35.5577;126.341;
74697;55;1938.2;1950;5.9844;55.1672;6.25;53.1946;133.5791;
80524;58;3180;3194.3999;16.8102;82.1;6;0;0;
80524;2;3284.3999;3284.3999;2.2249;114.804;0;26.4918;84.5275;
73019;52;1080;1113.6;16.6801;29.6;6;0;0;
73019;9;1326;1326;14.4207;63.8295;6;72.6621;187.0718;
74414;56;1260;1304.4;24.19;64.6;6;0;0;
74414;15;1421.6;1421.6;14.4326;21.155;6;46.3185;94.5424;
71316;57;600;607.2;5.7199;72.9;6;0;0;
71316;57;613.4;690;-1.5242;73.0119;6.25;0.6671;7.4377;
79087;51;3120;3172.8;-1.7899;20.4;6;0;0;
79087;2;3308;3308;-1.3464;114.8864;0;22.5416;142.6399;
69450;1;48;48;4.3142;1.6797;0;0;0;
69450;59;118;355.2;21.2922;81.9979;6;6.7078;107.7217;
