AgentID;ActivityID;TimeIn;TimeOut;xLoc;yLoc;zLoc;TotalDelayTime;TotalDistance;
49448;54;1320;1358.4;16.7001;47.1;6;0;0;
49448;59;1572.6;2160;6.6095;80.3122;6;626.0626;148.7719;
49720;56;1260;1292.4;16.69;64.6;6;0;0;
49720;59;1341.4;2028;20.9258;64.778;6;38.5236;14.7681;
49720;59;2148.2;2160;24.3157;64.3895;6;140.7095;56.0085;
44926;55;420;457.2;-1.7;55.4;6;0;0;
44926;13;457.6;457.6;-1.7;55.705;6;0.1942;0.305;
50790;52;1800;1854;8.68;29.6;6;0;0;
46645;53;480;516;-1.7101;37.9;6;0;0;
46645;59;659.8;1189.2;4.2281;57.9744;6;57.9994;122.182;
46645;55;1231;1230;5.6046;55.5652;6.25;92.9487;127.4454;
66586;2;1684;1684;-2.5449;115.7024;0;0;0;
66586;59;1798.4;2160;-14.8431;42.8475;6;390.0593;123.0168;
54319;2;892;892;4.7454;116.8813;0;0;0;
54319;59;1032.8;1255.2;-15.6962;41.4876;6;34.0565;120.3385;
54319;53;1283.2;1290;-17.3859;38.1227;6.25;54.7563;126.2396;
55609;1;964;964;-6.4154;1.9741;0;0;0;
55609;59;1067.4;1321.2;14.349;63.0037;6;7.5293;99.769;
55609;59;1358.2;2041.2;9.0521;60.2565;6;36.0833;111.5728;
55609;59;2110.2;2160;5.3724;61.548;6;139.7778;132.1939;
53180;56;1980;2038.8;1.19;64.6;6;0;0;
45620;2;296;296;0.6823;116.6566;0;0;0;
45620;54;678;690;24.4069;47.2603;6.25;248.673;221.1229;
44089;1;82;82;13.1582;1.1555;0;0;0;
44089;59;172.6;474;-11.178;55.5911;6;1.3539;103.0584;
44089;55;493.6;510;-17.1115;55.1172;6.25;13.5098;110.4205;
52099;57;2040;2077.2;-17.28;72.9;6;0;0;
45950;56;540;560.4;24.19;64.6;6;0;0;
45950;2;666;666;1.5014;114.798;0;13.0462;77.8485;
53564;2;792;792;11.6406;116.633;0;0;0;
53564;59;902;1321.2;2.5204;61.27;6;11.4218;112.6405;
53564;59;1358.4;2040;7.0748;60.7015;6;40.7585;124.767;
45742;52;360;411.6;1.1801;29.6;6;0;0;
45742;1;522.4;522.4;0.5606;2.5381;0;23.2484;75.5037;
46029;57;600;637.2;-17.28;72.9;6;0;0;
46029;2;732.6;732.6;0.2949;114.9594;0;11.7488;77.1214;
48582;51;960;974.4;-17.2899;20.4;6;0;0;
48582;10;1070.8;1070.8;11.2699;46.2801;6;16.0032;98.6871;
44513;2;194;194;8.942;116.5603;0;0;0;
44513;59;312;417.6;7.6878;29.1576;6;4.8791;155.6135;
44513;52;437.6;450;1.4512;29.5655;6.25;16.9144;162.9707;
53021;2;752;752;-2.4777;116.1276;0;0;0;
53021;59;834.8;1306.8;14.3667;63.6189;6;2.3996;89.6094;
53021;56;1324.4;1350;16.3996;64.6445;6.25;14.6563;95.2482;
52127;53;1920;1928.4;5.7899;37.9;6;0;0;
52127;59;2114;2160;-3.7395;75.0453;6;104.8817;145.0009;
45960;54;600;632.4;16.7001;47.1;6;0;0;
45960;13;715.4;715.4;25.4404;56.2444;6;12.4552;75.139;
45130;51;240;270;5.71;20.4;6;0;0;
45130;14;374;374;-25.8077;38.6605;6;28.7223;88.9648;
50878;55;1860;1884;-1.7;55.4;6;0;0;
50878;10;2068.2;2068.2;14.3687;46.3954;6;99.9597;135.2344;
51862;53;1920;1954.8;-9.71;37.9;6;0;0;
48536;51;960;997.2;-1.7899;20.4;6;0;0;
48536;2;1154.8;1154.8;-1.6274;114.8777;0;25.5634;138.4442;
45421;2;268;268;3.5711;115.5475;0;0;0;
45421;55;446;510;5.736;55.6113;6.25;28.1954;109.3857;
52319;1;686;686;9.4127;0.5332;0;0;0;
52319;59;778.6;1189.2;5.5484;59.4083;6;13.2249;112.4116;
52319;55;1203.4;1230;5.7668;55.6979;6.25;21.685;117.2727;
63954;2;1488;1488;-8.2407;116.8733;0;0;0;
63954;59;1711.4;2160;6.869;79.3427;6;555.8894;112.3114;
50208;2;572;572;14.13;116.8117;0;0;0;
50208;59;729;1134;2.5121;26.9754;6;16.5768;144.6089;
50208;52;1163.2;1170;8.5788;29.7204;6.25;36.0811;153.7462;
62223;2;1362;1362;-14.3747;117.1158;0;0;0;
62223;59;1569.6;2160;-0.103;24.2317;6;661.9206;167.6294;
52619;57;2040;2049.6001;5.7199;72.9;6;0;0;
45706;58;300;328.8;16.8102;82.1;6;0;0;
45706;54;651.8;690;8.8938;47.0723;6.25;153.4411;203.5378;
65999;2;1666;1666;-12.2614;117.1993;0;0;0;
65999;59;1792.6;2160;8.2073;39.9022;6;379.5958;131.4942;
49506;53;1200;1204.8;-1.7101;37.9;6;0;0;
49506;14;1205;1205;-1.7487;38.2034;6;0.1947;0.3059;
60941;2;1284;1284;4.7553;115.7102;0;0;0;
60941;59;1352.6;2091.6001;-14.7427;75.5781;6;13.4017;78.6724;
54199;2;856;856;7.7759;115.6256;0;0;0;
54199;59;958.6;1306.8;15.3585;60.2183;6;7.0546;94.2571;
54199;56;1328;1350;16.9285;64.6595;6.25;20.4429;102.7194;
48555;52;1080;1118.4;8.68;29.6;6;0;0;
48555;2;1291;1291;-0.8869;114.9586;0;44.4873;142.5424;
48640;58;1020;1069.2;16.8102;82.1;6;0;0;
48640;59;1088.6;1792.8;12.6081;78.4345;6;12.9921;8.1655;
48640;59;2070;2160;22.1795;64.5661;6;257.9012;118.6144;
60066;2;1238;1238;6.0694;115.3721;0;0;0;
60066;59;1431.4;2091.6001;15.0459;45.1283;6;90.1353;131.0867;
60066;54;2109.3999;2130;16.7904;46.8281;6.25;102.0521;137.8859;
51739;55;1860;1896;-1.7;55.4;6;0;0;
46660;54;600;620.4;1.2001;47.1;6;0;0;
46660;2;722.2;722.2;-0.7607;114.8966;0;2.6074;121.8554;
46913;55;1140;1142.4;-17.2;55.4;6;0;0;
46913;2;1233.8;1233.8;-1.2199;114.8964;0;4.181;90.9834;
50916;58;1740;1744.8;8.8102;82.1;6;0;0;
50916;59;1935;2160;-10.0266;39.5562;6;308.5018;149.7593;
47505;51;960;973.2;5.71;20.4;6;0;0;
47505;2;1083.6;1083.6;1.406;114.8125;0;11.2094;135.1723;
48034;2;432;432;-2.4763;115.2663;0;0;0;
48034;59;521;650.4;-4.3604;77.3544;6;1.9176;82.8181;
48034;57;682;690;-9.6251;73.091;6.25;22.787;93.1877;
44151;2;98;98;12.2117;115.4821;0;0;0;
44151;59;165.8;361.2;11.3069;76.9959;6;11.257;82.9137;
44151;58;379.8;390;16.9014;82.348;6.25;20.2321;92.7336;
51789;55;1860;1905.6;-1.7;55.4;6;0;0;
51789;59;2110.2;2160;-17.6419;74.1344;6;187.076;118.8406;
55733;1;982;982;13.2413;2.1953;0;0;0;
55733;56;1338.6;1350;24.095;64.3419;6.25;251.6125;173.827;
59932;2;1218;1218;4.2482;117.2104;0;0;0;
59932;56;2051;2070;24.0809;64.6425;6.25;594.7165;239.518;
74414;2;2154;2154;0.0224;115.7273;0;0;0;
48774;52;1080;1105.2;16.6801;29.6;6;0;0;
48774;13;1209.8;1209.8;-17.8123;55.7851;6;29.1421;108.717;
44927;52;360;367.2;16.6801;29.6;6;0;0;
44927;11;368.6;368.6;16.7058;29.1893;6;1.1076;0.4116;
74237;2;2108;2108;6.1953;116.1381;0;0;0;
45992;54;600;604.8;1.2001;47.1;6;0;0;
45992;13;708.6;708.6;3.9072;56.2148;6;41.6796;114.2282;
51309;2;634;634;6.6086;115.7247;0;0;0;
51309;59;771;1189.2;1.1095;57.8089;6;35.3906;109.1266;
51309;55;1224.4;1230;-1.6737;55.6074;6.25;62.9428;115.967;
52612;54;2040;2071.2;1.2001;47.1;6;0;0;
52900;56;1980;1988.4;16.69;64.6;6;0;0;
55779;2;988;988;-11.6246;115.4657;0;0;0;
55779;59;1180.4;1734;0.6639;23.3002;6;32.3937;151.8549;
55779;59;2113.2;2160;6.4744;42.7884;6;318.4014;292.9181;
50214;1;572;572;12.689;1.3332;0;0;0;
50214;59;642.4;1005.6;-14.4802;23.0642;6;1.2381;61.6237;
50214;51;1028.4;1050;-17.0975;20.4608;6.25;16.5111;68.9356;
64544;2;1514;1514;0.0924;115.3584;0;0;0;
64544;59;2108.6001;2160;-2.122;75.5229;6;492.5682;211.6769;
44968;55;420;451.2;5.8;55.4;6;0;0;
44968;1;574;574;1.563;2.6511;0;7.4241;99.1562;
49825;54;1320;1366.8;16.7001;47.1;6;0;0;
49825;2;1542.6;1542.6;0.8034;114.8355;0;37.2783;127.0531;
65279;2;1598;1598;-0.052;115.3689;0;0;0;
65279;59;1712.2;2160;-9.4498;43.7095;6;479.1816;123.0165;
66017;2;1670;1670;-11.1158;116.5379;0;0;0;
66017;59;1955;2160;-8.6209;59.266;6;320.5504;154.2929;
46891;54;600;650.4;16.7001;47.1;6;0;0;
46891;59;1141.2;1795.2;19.9316;82.2991;6;290.2787;178.6534;
46891;59;2061.2;2160;13.6546;59.8648;6;522.3923;289.0775;
50478;51;1680;1692;-17.2899;20.4;6;0;0;
50478;14;1763.2;1763.2;-25.9951;38.6893;6;26.2184;70.0592;
52150;56;1980;2010;24.19;64.6;6;0;0;
52150;59;2122.3999;2160;-1.8045;57.6667;6;100.6887;61.1139;
60136;1;1248;1248;-1.3365;1.2247;0;0;0;
60136;59;1411.2;2028;24.5533;64.5147;6;91.3836;89.7684;
60136;56;2038.8;2070;24.2403;64.3998;6.25;98.0234;92.3371;
50318;2;588;588;11.3303;116.6938;0;0;0;
50318;59;693;1076.4;15.9545;80.2037;6;19.7771;82.8972;
50318;58;1085.6;1110;16.9785;81.9214;6.25;24.1383;85.5955;
51969;58;1740;1771.2;8.8102;82.1;6;0;0;
51969;2;1903.4;1903.4;-2.1865;114.7502;0;64.4405;96.087;
50707;55;1860;1869.6;-1.7;55.4;6;0;0;
50707;59;2111.8;2160;-16.0837;74.2283;6;180.4739;126.7411;
52120;57;2040;2061.6001;-1.7801;72.9;6;0;0;
49591;57;1320;1336.8;-1.7801;72.9;6;0;0;
49591;59;1470.4;2160;5.5945;22.3595;6;727.8066;150.2002;
50637;55;1860;1904.4;-9.7;55.4;6;0;0;
50637;59;2118.8;2160;3.3921;76.1;6;137.5147;139.5292;
45630;2;298;298;13.6025;115.9279;0;0;0;
45630;59;385.8;475.2;0.1366;56.783;6;3.7431;112.9672;
45630;55;480.6;510;-1.697;55.6855;6.25;5.6572;115.2999;
49921;54;1320;1346.4;8.7;47.1;6;0;0;
49921;9;1544.2;1544.2;-16.7452;63.7637;6;77.7093;164.6005;
51289;2;632;632;-10.6464;115.7204;0;0;0;
51289;59;744;1076.4;11.2309;80.4873;6;36.0262;93.9672;
51289;58;1096.4;1110;16.8432;82.1776;6.25;46.9736;101.8271;
51159;1;620;620;-7.258;0.747;0;0;0;
51159;59;715.4;1189.2;6.2054;56.2194;6;30.8632;111.576;
51159;55;1192.6;1230;6.0371;55.17;6.25;31.9837;112.7119;
68816;2;1828;1828;11.5506;116.9963;0;0;0;
52635;57;2040;2062.8;-1.7801;72.9;6;0;0;
52635;59;2077.3999;2160;9.2643;80.1514;6;85.4758;15.1559;
65885;2;1636;1636;3.0767;116.2197;0;0;0;
