Index	X	Left to Right	X	Right to Left	X	Sum
0	1899/12/30	0	1899/12/30	0	1899/12/30	0
1	1899/12/30 0:00:10	0	1899/12/30 0:00:10	0	1899/12/30 0:00:10	0
2	1899/12/30 0:00:20	0	1899/12/30 0:00:20	0	1899/12/30 0:00:20	0
3	1899/12/30 0:00:30	0	1899/12/30 0:00:30	0	1899/12/30 0:00:30	0
4	1899/12/30 0:00:40	2	1899/12/30 0:00:40	0	1899/12/30 0:00:40	2
5	1899/12/30 0:00:50	3	1899/12/30 0:00:50	0	1899/12/30 0:00:50	3
6	1899/12/30 0:01:00	4	1899/12/30 0:01:00	0	1899/12/30 0:01:00	4
7	1899/12/30 0:01:10	1	1899/12/30 0:01:10	2	1899/12/30 0:01:10	3
8	1899/12/30 0:01:20	1	1899/12/30 0:01:20	2	1899/12/30 0:01:20	3
9	1899/12/30 0:01:30	2	1899/12/30 0:01:30	6	1899/12/30 0:01:30	8
10	1899/12/30 0:01:40	3	1899/12/30 0:01:40	5	1899/12/30 0:01:40	8
11	1899/12/30 0:01:50	2	1899/12/30 0:01:50	9	1899/12/30 0:01:50	11
12	1899/12/30 0:02:00	2	1899/12/30 0:02:00	8	1899/12/30 0:02:00	10
13	1899/12/30 0:02:10	2	1899/12/30 0:02:10	5	1899/12/30 0:02:10	7
14	1899/12/30 0:02:20	2	1899/12/30 0:02:20	8	1899/12/30 0:02:20	10
15	1899/12/30 0:02:30	2	1899/12/30 0:02:30	7	1899/12/30 0:02:30	9
16	1899/12/30 0:02:40	2	1899/12/30 0:02:40	4	1899/12/30 0:02:40	6
17	1899/12/30 0:02:50	2	1899/12/30 0:02:50	9	1899/12/30 0:02:50	11
18	1899/12/30 0:03:00	2	1899/12/30 0:03:00	11	1899/12/30 0:03:00	13
19	1899/12/30 0:03:10	1	1899/12/30 0:03:10	8	1899/12/30 0:03:10	9
20	1899/12/30 0:03:20	5	1899/12/30 0:03:20	3	1899/12/30 0:03:20	8
21	1899/12/30 0:03:30	1	1899/12/30 0:03:30	8	1899/12/30 0:03:30	9
22	1899/12/30 0:03:40	2	1899/12/30 0:03:40	6	1899/12/30 0:03:40	8
23	1899/12/30 0:03:50	2	1899/12/30 0:03:50	8	1899/12/30 0:03:50	10
24	1899/12/30 0:04:00	2	1899/12/30 0:04:00	5	1899/12/30 0:04:00	7
25	1899/12/30 0:04:10	2	1899/12/30 0:04:10	9	1899/12/30 0:04:10	11
